"offer_id","shop_id","model_id"
"12132",158135,13579073
"11365",158135,13485515
"12232",158135,13747914
"12258",158135,13769851
"14264",158135,10495456
"15035",158135,14206712
"14886",158135,14187934
"12563",158135,13529995
"15025",158135,14206636
"15415",158135,14180415
"12552",158135,13778007
"15411",158135,14209901
"15021",158135,14206684
"15893",158135,14206711
"15029",158135,14206712
"15874",158135,14206684
"15870",158135,14206682
"11788",158135,13485518
"8674",158135,12859245
"15892",158135,14206637
"11229",158135,13188752
"11786",158135,13485515
"15878",158135,14206684
"12558",158135,13814762
"4176",158135,10624079
"11942",158135,13584123
"14888",158135,13769852
"14238",158135,13934014
"310470",5046,13584121
"443274",5046,13978402
"90151",5046,12340881
"515644",5046,14260089
"226364",5046,12923937
"516468",5046,13869827
"158558",5046,12522364
"367878",5046,13060024
"429638",5046,13994382
"497173",5046,13747875
"214496",5046,12089499
"399150",5046,11157888
"296548",5046,13485515
"294240",5046,13340782
"294244",5046,13340782
"452058",5046,13779434
"178253",5046,11551057
"378694",5046,11145540
"492329",5046,13898925
"493321",5046,13779434
"421902",5046,13848320
"443294",5046,13978402
"193493",5046,12859246
"110030",5046,12184731
"459248",5046,13430929
"380234",5046,13059919
"241416",5046,13172941
"421822",5046,13848320
"199259",5046,12692902
"193502",5046,12859246
"217656",5046,13083992
"492557",5046,14209841
"421382",5046,13769856
"257444",5046,13061479
"291844",5046,12670591
"30460",5046,10495456
"93928",5046,11145540
"297412",5046,13485518
"227264",5046,13061479
"264208",5046,13188752
"308430",5046,12259971
"310474",5046,13584123
"264184",5046,13188751
"492549",5046,14209841
"432570",5046,13485529
"372286",5046,13568583
"497177",5046,13831011
"494261",5046,14124403
"399038",5046,13208005
"512596",5046,13854097
"399406",5046,13769851
"396990",5046,13831011
"88958",5046,10790095
"428274",5046,13325395
"392930",5046,13718357
"283028",5046,13066436
"304108",5046,13579073
"157109",5046,12607300
"399158",5046,13521855
"465905",5046,14179026
"452096",5046,13957549
"301056",5046,13464133
"339242",5046,13814762
"225340",5046,12741399
"297408",5046,13485518
"147695",5046,12715658
"202003",5046,12772728
"95498",5046,12259333
"493329",5046,14124403
"197131",5046,12785289
"257456",5046,12259780
"205448",5046,12873414
"294224",5046,13529995
"421378",5046,13769856
"339246",5046,13814762
"503005",5046,13779434
"368406",5046,12759967
"145691",5046,11549657
"313978",5046,13568581
"291944",5046,13054761
"368398",5046,12790962
"289296",5046,13471376
"328318",5046,12902511
"467093",5046,14124403
"314018",5046,12841663
"264156",5046,13188749
"170300",5046,12580852
"291176",5046,13238884
"294248",5046,13340782
"441858",5046,14124399
"520928",5046,1710686455
"264152",5046,13188749
"237004",5046,12796025
"274532",5046,13325392
"115264",5046,10790095
"313982",5046,13568581
"415842",5046,13969254
"310482",5046,13584123
"264200",5046,13188752
"369166",5046,13743253
"370498",5046,12840987
"516380",5046,14196131
"257452",5046,12259780
"232400",5046,13020860
"225436",5046,12923934
"291948",5046,13054761
"273180",5046,13366246
"297404",5046,13485518
"342218",5046,13778007
"457820",5046,14162580
"242680",5046,13098365
"471723",5046,13869827
"310486",5046,13584123
"205340",5046,12426766
"281692",5046,11743876
"441854",5046,14124399
"512600",5046,14193258
"167288",5046,12260273
"477925",5046,13957549
"309590",5046,13325393
"212836",5046,12847672
"400194",5046,13859304
"172718",5046,12693726
"225944",5046,12923937
"141671",5046,12625613
"342214",5046,13778007
"193127",5046,10796634
"443266",5046,13978402
"492197",5046,12841663
"95495",5046,12259333
"452059",5046,13898925
"288872",5046,12513459
"102872",5046,12221267
"390462",5046,13574598
"304112",5046,13579073
"369170",5046,13743253
"452095",5046,13957549
"400198",5046,13859304
"90148",5046,12340881
"93924",5046,11145542
"432558",5046,13485529
"214488",5046,12452709
"199263",5046,12693726
"415854",5046,13869827
"194459",5046,12859246
"214500",5046,12840984
"459252",5046,13430928
"492553",5046,14209841
"310458",5046,13584121
"342222",5046,13778007
"199255",5046,12692902
"422706",5046,13920620
"372290",5046,13568583
"309586",5046,13325393
"88955",5046,10790095
"399162",5046,13468467
"360366",5046,12841666
"179912",5046,12799655
"257448",5046,12841663
"212832",5046,12907407
"199251",5046,12692902
"404078",5046,13747914
"456740",5046,14112311
"418094",5046,14020941
"158546",5046,11889349
"502645",5046,14112311
"502457",5046,13898925
"399146",5046,13769851
"95507",5046,12259971
"264204",5046,13188752
"258648",5046,13208005
"294228",5046,13529995
"264148",5046,13091545
"264188",5046,13188751
"110027",5046,12184731
"390458",5046,13574598
"232404",5046,12840970
"214492",5046,12452709
"304116",5046,13579073
"294232",5046,13529995
"95504",5046,12259971
"145658",5046,11903808
"227076",5046,13059919
"117328",5046,12466715
"227072",5046,13059919
"257692",5046,12757189
"349546",5046,13814762
"493325",5046,13849550
"559601",17019,13521876
"363494",17019,10994730
"618610",17019,14124403
"556097",17019,13769851
"559593",17019,13486413
"405324",17019,11055921
"627340",17019,13521946
"365866",17019,11145538
"349259",17019,11145540
"543866",17019,13814762
"516986",17019,11927009
"369663",17019,11157888
"544122",17019,11037012
"534419",17019,13574598
"499326",17019,12672696
"516923",17019,12595938
"518661",17019,13084976
"551063",17019,13747914
"588693",17019,13627163
"550386",17019,13889382
"392042",17019,12452709
"613776",17019,10692491
"559591",17019,13486413
"376463",17019,11619537
"526144",17019,13325392
"458598",17019,12607300
"516954",17019,13091552
